"","Item","Loading","Coef"
"591","Bell_pepper","PC21",0.12305500597247
"592","Carrots","PC21",-0.0137717381533583
"593","Cabbage","PC21",-0.197645202295949
"594","Sauce","PC21",0.36289625479339
"595","Salsa","PC21",0.342614616907382
"596","Cilantro","PC21",-0.246439602965766
"597","Onion","PC21",0.0796046074462772
"598","Taquito","PC21",0.109121764110985
"599","Pineapple","PC21",0.166893838568961
"600","Ham","PC21",-0.211986680431652
"601","Chile_relleno","PC21",-0.0745168712806291
"602","Nopal","PC21",-0.124913744829306
"603","Lobster","PC21",-0.0928048265962777
"604","Egg","PC21",0.333229971473788
"605","Mushroom","PC21",-0.365008258791447
"606","Bacon","PC21",-0.124476988358358
"607","Avocado","PC21",0.12797914845235
"608","Corn","PC21",-0.0278092392466477
"609","Zucchini","PC21",0.100519594018064
"610","Beef","PC22",0.113631700392675
"611","Pico","PC22",0.0818736988762299
"612","Cheese","PC22",0.0818765571573722
"613","Fries","PC22",-0.19918659925841
"614","Sour_cream","PC22",0.0719362756779648
"615","Pork","PC22",-0.0779858855009692
"616","Chicken","PC22",0.0579196766761348
"617","Shrimp","PC22",-0.299425986763404
"618","Fish","PC22",0.0792647447865489
"619","Tomato","PC22",0.0692509654944683
"620","Bell_pepper","PC22",0.0374748220002651
"621","Carrots","PC22",0.156304016047589
"622","Cabbage","PC22",-0.27173663950499
"623","Sauce","PC22",0.443238086835873
"624","Salsa","PC22",-0.240851898169265
"625","Cilantro","PC22",0.0675083248462455
"626","Onion","PC22",0.148507864965177
"627","Taquito","PC22",-0.0357532585343336
"628","Pineapple","PC22",-0.152971648055909
"629","Ham","PC22",0.244750093028251
"630","Chile_relleno","PC22",-0.165845124862045
"631","Nopal","PC22",-0.15151703028495
"632","Lobster","PC22",0.0177691313404081
"633","Egg","PC22",-0.17257504380424
"634","Mushroom","PC22",0.195927625069598
"635","Bacon","PC22",0.164550537715331
"636","Avocado","PC22",0.152973803025317
"637","Corn","PC22",0.200512198035882
"638","Zucchini","PC22",-0.37906483646001
"639","Beef","PC23",0.0361391978897763
"640","Pico","PC23",-0.231006617288876
